319,The Thin Red Line,1998,0,170,0,"Drama, War",Terrence Malick
320,La Leggenda del pianista sull'oceano,1998,0,165,0,"Drama, Music, Romance",Giuseppe Tornatore
321,A Time to Kill,1996,0,149,0,"Crime, Drama, Thriller",Joel Schumacher
322,Die Hard,1988,0,131,0,"Action, Thriller",John McTiernan
323,Closet Land,1991,0,89,0,"Drama, Thriller",Radha Bharadwaj
324,The Last of the Mohicans,1992,0,112,0,"Action, Adventure, Drama",Michael Mann
325,A Single man,2009,0,99,0,Drama,Tom Ford
326,Spirit: Stallion of the Cimarron,2002,0,83,0,"Animation, Adventure, Family","Kelly Asbury, Lorna Cook"
327,Sleepy Hollow,1999,0,105,0,"Drama, Horror, Mystery",Tim Burton
328,"They Shoot Horses, Don't They?",1969,0,129,0,Drama,Sydney Pollack
329,A Streetcar Named Desire,1951,0,122,0,Drama,Elia Kazan
330,The Straight Story,1999,0,112,0,"Biography, Drama",David Lynch
331,Jack Strong,2014,0,128,0,"Action, Biography, Crime",Wladyslaw Pasikowski
332,The Painted Veil,2006,0,125,0,"Drama, Romance",John Curran
333,Kumonosu jo,1957,0,110,0,Drama,Akira Kurosawa
334,The Bridges of Madison County,1995,0,135,0,"Drama, Romance",Clint Eastwood
335,The Score,2001,0,124,0,"Crime, Drama, Thriller",Frank Oz
336,25th Hour,2002,0,135,0,Drama,Spike Lee
337,True Romance,1993,0,120,0,"Action, Crime, Drama",Tony Scott
338,Dracula,1992,0,128,0,"Fantasy, Horror, Romance",Francis Ford Coppola
339,Lawless,2012,0,116,0,"Crime, Drama",John Hillcoat
340,Cape Fear,1991,0,128,0,"Crime, Thriller",Martin Scorsese
341,Se7en,1995,0,127,0,"Crime, Drama, Mystery",David Fincher
342,The Negotiator,1998,0,140,0,"Action, Crime, Drama",F. Gary Gray
343,Lolita,1997,0,137,0,"Drama, Romance",Adrian Lyne
344,The House of the Spirits,1993,0,140,0,"Drama, Romance",Bille August
345,Margin Call,2011,0,107,0,"Biography, Drama, Thriller",J.C. Chandor
346,The Words,2012,0,102,0,"Drama, Mystery, Romance","Brian Klugman, Lee Sternthal"
347,The Crucible,1996,0,124,0,"Drama, History",Nicholas Hytner
348,The Railway man,2013,0,116,0,"Biography, Drama, Romance",Jonathan Teplitzky
